Scientific Name,Common Name,Species Type,Status,Reason For Change,Year
Cephalophus spadix,Abbott’s Duiker,Mammal,EN,G,2007
Gazella spekei ,Speke’s Gazelle,Mammal,EN,G,2007
Gorilla gorilla,Western Gorilla,Mammal,CR,G,2007
Lipotes vexillifer,Baiji,Mammal,CR(PE),G,2007
Mazama chunyi,Dwarf Brocket Deer,Mammal,VU,N,2007
Procapra picticaudata,Tibetan Gazelle,Mammal,NT,G,2007
Ardea insignis,White-bellied Heron,Bird,CR,N,2007
Aythya innotata,Madagascar Pochard,Bird,CR,N,2007
Brachypteryx hyperythra,Rusty-bellied Shortwing,Bird,NT,N,2007
Branta ruficollis,Red-breasted Goose,Bird,EN,G,2007
Charadrius pallidus,Chestnut-banded Plover,Bird,NT,N,2007
Charadrius sanctaehelenae ,St Helena Plover,Bird,CR,G,2007
Chthonicola sagittatus,Speckled Warbler,Bird,LC,N,2007
Cinclodes pabsti,Long-tailed Cinclodes,Bird,NT,N,2007
Coeligena orina,Dusky Starfrontlet,Bird,CR,N,2007
Corvus unicolor,Banggai Crow,Bird,CR,N,2007
Euphagus carolinus,Rusty Blackbird,Bird,VU,N,2007
Eurystomus azureus,Purple Dollarbird,Bird,NT,N,2007
Ficedula henrici ,Damar Flycatcher,Bird,NT,N,2007
Francolinus streptophorus,Ring-necked Francolin,Bird,NT,N,2007
Gallicolumba crinigera,Mindanao Bleeding-heart,Bird,VU,N,2007
Garrulax courtoisi,Blue-crowned Laughingthrush,Bird,CR,N,2007
Gypopsitta pyrilia,Saffron-headed Parrot,Bird,NT,N,2007
Gyps africanus,White-backed Vulture,Bird,NT,N,2007
Gyps rueppellii,Rueppell’s Vulture,Bird,NT,N,2007
Heteromirafra sidamoensis,Sidamo Lark,Bird,EN,N,2007
Heteromunia pectoralis,Pictorella Munia,Bird,LC,N,2007
Houbaropsis bengalensis,Bengal Florican,Bird,CR,G,2007
Macroagelaius subalaris,Mountain Grackle,Bird,EN,N,2007
Macronectes giganteus,Southern Giant-petrel,Bird,NT,N,2007
Melamprosops phaeosoma,Poo-uli,Bird,CR(PE),N,2007
Neophron percnopterus,Egyptian Vulture,Bird,EN,G,2007
Oxyura maccoa,Maccoa Duck,Bird,NT,N,2007
Pelecanus philippensis,Spot-billed Pelican,Bird,NT,N,2007
Penelopina nigra,Highland Guan,Bird,VU,N,2007
Phapitreron cinereiceps,Tawitawi Brown-dove,Bird,EN,N,2007
Phoebastria irrorata, Waved Albatross,Bird,CR,G,2007
Procellaria conspicillata,Speckled Petrel,Bird,VU,N,2007
Psittacula eques ,Mauritius Parakeet,Bird,EN,G,2007
Psittacus erithacus,Grey Parrot,Bird,NT,N,2007
Sarcogyps calvus,Red-headed Vulture,Bird,VU,G,2007
Sheppardia gunningi ,East Coast Akalat,Bird,NT,N,2007
Siphonorhis brewsteri,Least Pauraque,Bird,NT,N,2007
Trigonoceps occipitalis ,White-headed Vulture,Bird,VU,N,2007
Aspidoscelis hyperythra,Orangethroat Whiptail,Reptile,LC,N,2007
Gavialis gangeticus,Gharial,Reptile,CR,G,2007
Heloderma horridum,Beaded Lizard,Reptile,LC,N,2007
Heloderma suspectum,Gila Monster,Reptile,NT,N,2007
Kinosternon creaseri,Yucatan Mud Turtle,Reptile,LC,N,2007
Kinosternon oaxacae,Oaxaca Mud Turtle,Reptile,DD,N,2007
Rhinoclemmys rubida,Mexican Spotted Wood Turtle,Reptile,NT,N,2007
Thamnophis hammondii,Two-striped Gartersnake,Reptile,LC,N,2007
Xantusia riversiana,Island Night Lizard,Reptile,LC,N,2007
Aspidoscelis hyperythra,Orangethroat Whiptail,Reptile,LC,N,2007
Serranochromis meridianus,Lowveld Largemouth,Fish,EN,G,2007
Sphyrna mokarran,Great Hammerhead Shark,Fish,EN,N,2007
Squatina aculeata,Sawback Angelshark,Fish,CR,N,2007
Squatina guggenheim,Hidden Angelshark,Fish,EN,N,2007
Squatina oculata,Smoothback Angelshark,Fish,CR,N,2007
Croilia mossambica,Burrowing Goby,Fish,LC,N,2007
Barbus andrewi,Berg-Breede River Whitefish,Fish,EN,N,2007
Barbus brevipinnis,Shortfin Barb,Fish,NT,N,2007
Barbus calidus,Clanwilliam Redfin,Fish,VU,N,2007
Barbus hospes,Namaquab Barb,Fish,LC,N,2007
Barbus treurensis,Treur River Barb,Fish,EN,N,2007
Barbus trevelyani,Border Barb,Fish,EN,N,2007
Labeo seeberi,Clanwilliam Sandfish,Fish,EN,N,2007
Opsaridium peringueyi,Southern Barred Minnow,Fish,LC,N,2007
Pseudobarbus afer,Eastern Cape Redfin,Fish,EN,N,2007
Pseudobarbus asper,Smallscale Redfin,Fish,EN,N,2007
Pseudobarbus burchelli,Tradou Redfin,Fish,CR,N,2007
Pseudobarbus burgi,Berg River Redfin,Fish,EN,N,2007
Pseudobarbus quathlambae,Maloti Redfin,Fish,EN,N,2007
Pseudobarbus tenuis,Slender Redfin,Fish,NT,N,2007
Nothobranchius kafuensis,Caprivi Killifish,Fish,LC,N,2007
Nothobranchius kirki,Kirk's Killifish,Fish,LC,N,2007
Nothobranchius orthonotus,Spotted Killifish,Fish,LC,N,2007
Sandelia capensis,Cape Kurper,Fish,DD,N,2007
Chetia brevis,Orange-Fringed River Bream,Fish,EN,N,2007
Aciagrion heterosticta,,Invertebrate,DD,N,2007
Aeshna persephone,Persephone's Darner,Invertebrate,LC,N,2007
Africallagma cuneistigma,,Invertebrate,VU,N,2007
Anoglypta launcestonensis,Granulated Tasmanian Snail,Invertebrate,NT,N,2007
Bellamya monardi,,Invertebrate,NT,N,2007
Biomphalaria angulosa,,Invertebrate,LC,N,2007
Biomphalaria salinarum,,Invertebrate,DD,N,2007
Bulinus canescens,,Invertebrate,LC,N,2007
Discocharopa mimosa,,Invertebrate,LC,N,2007
Ecchlorolestes nylephtha,Queen Malachite,Invertebrate,NT,N,2007
Enallagma recurvatum,Pine Barrens Bluet,Invertebrate,LC,N,2007
Gomphus consanguis,Cherokee Clubtail,Invertebrate,EN,N,2007
Gomphus sandrius,Tennessee Clubtail,Invertebrate,VU,N,2007
Gomphus septima,Septima's Clubtail,Invertebrate,LC,N,2007
Ischnura gemina,San Francisco Forktail,Invertebrate,VU,N,2007
Lanistes neavei,,Invertebrate,LC,N,2007
Metacnemis angusta,Ceres Stream-Damsel,Invertebrate,VU,N,2007
Nehalennia pallidula,Everglades Sprite,Invertebrate,NT,N,2007
Neurogomphus dissimilis,,Invertebrate,DD,N,2007
Notogomphus zernyi,,Invertebrate,DD,N,2007
Ophiogomphus acuminatus,Acuminate Snaketail,Invertebrate,NT,N,2007
Ophiogomphus anomalus,Extra-striped Snaketail,Invertebrate,LC,N,2007
Ophiogomphus howei,Pygmy Snaketail,Invertebrate,LC,N,2007
Paragomphus cataractae,Cataract Hooktail,Invertebrate,NT,N,2007
Pila occidentalis,,Invertebrate,LC,N,2007
